PROVINCIA,LAT,LON
AMAZONAS,-5.211848,-77.984812
ANCASH,-9.498423,-77.660763
APURIMAC,-14.068715,-73.014219
AREQUIPA,-15.65798,-72.671713
AYACUCHO,-13.995255,-74.049663
CAJAMARCA,-6.387776,-78.806137
CALLAO,-11.937,-77.134287
CUSCO,-13.371645,-72.075671
HUANCAVELICA,-13.083214,-75.003609
HUANUCO,-9.323757,-75.965327
ICA,-14.177448,-75.526489
JUNIN,-11.488909,-74.93616
LA LIBERTAD,-7.845962,-78.253198
LAMBAYEQUE,-6.322074,-79.665457
LIMA,-11.565739,-76.738867
LORETO,-4.546365,-73.995478
MADRE DE DIOS,-11.817074,-70.970734
MOQUEGUA,-16.800223,-70.776623
PASCO,-10.455961,-75.404757
PIURA,-5.051178,-80.28225
PUNO,-16.3417,-68.876722
SAN MARTIN,-6.994267,-76.750996
TACNA,-17.547453,-70.261066
TUMBES,-3.86386,-80.527308
UCAYALI,-9.549512,-73.539652
